subj,trg,trial,id,block,snr,cond,pa,pd,pa_pfe,pd_pfe,fd_int,fd,sgd_int,sgd_i,sgd
4,12,21,43,2,2,1,1358.617,5291.215,93.94423,191.4018,0.2110184,0.2087955,1.399724,1.400453,1.407276
4,15,22,44,2,5,1,1368.578,5310.816,17.03694,40.48975,0.2784283,0.2760634,1.291239,1.28538,1.277643
5,15,1,1,1,5,1,2663.714,7438.875,436.4373,694.0466,0.5126858,0.5361478,1.175813,1.157527,1.101081
5,12,2,2,1,2,1,2950.985,7842.929,601.5762,886.4991,0.502396,0.5091872,1.085633,1.075187,1.061853
5,11,3,3,1,1,1,2808.017,7648.015,355.9455,529.4246,0.4736954,0.4802477,1.059621,1.046456,1.03557
5,13,4,4,1,3,1,2611.351,7374.396,229.7667,365.7559,0.463114,0.4868778,1.090409,1.059866,1.008175
5,14,5,5,1,4,1,2391.227,7057.214,204.5595,344.4579,0.502396,0.513028,0.972642,0.9605146,0.9377067
5,15,6,6,1,5,1,2390.497,7051.926,215.1355,360.7506,0.3852434,0.3966685,1.235913,1.222714,1.202339
5,14,7,7,1,4,1,2108.028,6623.588,79.75554,162.5526,0.4832152,0.4925638,0.9929315,0.9904907,0.9659408
5,11,8,8,1,1,1,1929.148,6334.483,-18.10624,1.403544,0.375138,0.3872367,1.154768,1.139142,1.129051
5,12,9,9,1,2,1,1804.759,6129.427,-120.5647,-165.632,0.653005,0.676419,0.8123873,0.7921999,0.776827
5,15,10,10,1,5,1,1724.669,5991.537,-123.6536,-173.7722,0.6436577,0.6632835,0.9365671,0.9255712,0.8964933
5,13,11,11,1,3,1,1616.935,5791.235,-171.0262,-279.5844,0.3834212,0.3934393,1.208053,1.202972,1.182333
5,14,12,12,1,4,1,1557.513,5680.429,-344.9741,-576.8627,0.4121686,0.4176632,1.126866,1.10982,1.100566
5,15,13,13,1,5,1,1545.881,5668.085,-310.6432,-511.9627,0.340446,0.3461721,1.325234,1.322309,1.311318
5,13,14,14,1,3,1,1470.392,5531.432,-370.2709,-633.0815,0.321324,0.321324,1.204054,1.204054,1.204054
5,11,15,15,1,1,1,1553.926,5688.205,-396.3226,-650.4601,0.360386,0.3688939,1.151004,1.144752,1.132369
5,12,16,16,1,2,1,1467.227,5518.873,-358.9187,-620.0906,0.3105434,0.3146235,1.236418,1.238537,1.208499
5,13,17,17,1,3,1,1358.143,5293.119,-313.0847,-572.525,0.3646528,0.373025,1.347914,1.341361,1.329785
5,14,18,18,1,4,1,1510.532,5600.606,-213.2181,-345.1271,0.3796504,0.374708,1.232536,1.230139,1.212857
5,12,19,19,1,2,1,1900.549,6285.557,-101.7227,-127.9586,0.4082973,0.4136885,1.280874,1.277974,1.277819
5,11,20,20,1,1,1,1884.364,6257.998,-125.3116,-170.0878,0.3207269,0.331578,1.308666,1.304223,1.249201
5,15,21,21,1,5,1,2170.549,6711.234,310.6909,529.3293,0.362683,0.3689954,1.299672,1.297648,1.261612
5,15,22,22,1,5,1,1896.087,6275.457,217.7821,391.143,0.4182754,0.419751,1.156742,1.156791,1.148179
5,25,1,23,2,5,2,2597.323,7351.898,784.9971,1301.881,0.699083,0.699083,1.012477,1.012477,1.012477
5,22,2,24,2,2,2,2515.2,7239.327,693.3846,1161.183,0.519705,0.5228336,1.075657,1.074699,1.073046
